study_name, sample_id,NCBI_accession
ShaoY_2019,e53e93ce-7ae6-11e9-a106-68b59976a384,ERR3406060
ShaoY_2019,e52a8fa0-7ae6-11e9-a106-68b59976a384,ERR3405396
ShaoY_2019,e514fb40-7ae6-11e9-a106-68b59976a384,ERR3405395
ShaoY_2019,e438d912-7ae6-11e9-a106-68b59976a384,ERR3405526
ShaoY_2019,e50092a4-7ae6-11e9-a106-68b59976a384,ERR3405394
ShaoY_2019,e4d7e336-7ae6-11e9-a106-68b59976a384,ERR3405623
ShaoY_2019,e4c34e62-7ae6-11e9-a106-68b59976a384,ERR3405324
ShaoY_2019,e4af1c08-7ae6-11e9-a106-68b59976a384,ERR3405323
ShaoY_2019,e4992b3c-7ae6-11e9-a106-68b59976a384,ERR3406224
ShaoY_2019,e484a090-7ae6-11e9-a106-68b59976a384,ERR3405529
ShaoY_2019,e4615860-7ae6-11e9-a106-68b59976a384,ERR3405528
ShaoY_2019,e4ec317e-7ae6-11e9-a106-68b59976a384,ERR3406059
ShaoY_2019,e9056b0e-7ae6-11e9-a106-68b59976a384,ERR3405966
ShaoY_2019,b51f81a8-7ae6-11e9-a106-68b59976a384,ERR3405831
ShaoY_2019,e92dccac-7ae6-11e9-a106-68b59976a384,ERR3405423
ShaoY_2019,f40f24ea-7ae6-11e9-a106-68b59976a384,ERR3405662
ShaoY_2019,f428c882-7ae6-11e9-a106-68b59976a384,ERR3405674
ShaoY_2019,f441bd38-7ae6-11e9-a106-68b59976a384,ERR3405829
ShaoY_2019,f45fe52e-7ae6-11e9-a106-68b59976a384,ERR3405941
ShaoY_2019,f4920d74-7ae6-11e9-a106-68b59976a384,ERR3405665
ShaoY_2019,f4aa1a22-7ae6-11e9-a106-68b59976a384,ERR3405676
ShaoY_2019,f4dd9302-7ae6-11e9-a106-68b59976a384,ERR3406062
ShaoY_2019,f510ee46-7ae6-11e9-a106-68b59976a384,ERR3405670
ShaoY_2019,f531f1d6-7ae6-11e9-a106-68b59976a384,ERR3405678
ShaoY_2019,f54f0118-7ae6-11e9-a106-68b59976a384,ERR3406236
ShaoY_2019,f58aa92a-7ae6-11e9-a106-68b59976a384,ERR3405668
ShaoY_2019,f5a77032-7ae6-11e9-a106-68b59976a384,ERR3405675
ShaoY_2019,f5c1705e-7ae6-11e9-a106-68b59976a384,ERR3405669
ShaoY_2019,f5da0042-7ae6-11e9-a106-68b59976a384,ERR3405679
ShaoY_2019,f5f37f22-7ae6-11e9-a106-68b59976a384,ERR3406075
ShaoY_2019,f60cb794-7ae6-11e9-a106-68b59976a384,ERR3406136
ShaoY_2019,f6260438-7ae6-11e9-a106-68b59976a384,ERR3406237
ShaoY_2019,f6404438-7ae6-11e9-a106-68b59976a384,ERR3405673
ShaoY_2019,f6595270-7ae6-11e9-a106-68b59976a384,ERR3405702
ShaoY_2019,f672bd3c-7ae6-11e9-a106-68b59976a384,ERR3406137
ShaoY_2019,f68dfb06-7ae6-11e9-a106-68b59976a384,ERR3406238
ShaoY_2019,f3f6e484-7ae6-11e9-a106-68b59976a384,ERR3405742
ShaoY_2019,f3de3c90-7ae6-11e9-a106-68b59976a384,ERR3405663
ShaoY_2019,f3ab8458-7ae6-11e9-a106-68b59976a384,ERR3406235
ShaoY_2019,f3850166-7ae6-11e9-a106-68b59976a384,ERR3405741
ShaoY_2019,f13a443e-7ae6-11e9-a106-68b59976a384,ERR3405558
ShaoY_2019,f152f8a8-7ae6-11e9-a106-68b59976a384,ERR3405559
ShaoY_2019,f170d33c-7ae6-11e9-a106-68b59976a384,ERR3405560
ShaoY_2019,f18c954a-7ae6-11e9-a106-68b59976a384,ERR3405823
ShaoY_2019,f1a65a84-7ae6-11e9-a106-68b59976a384,ERR3405975
ShaoY_2019,f1c197ea-7ae6-11e9-a106-68b59976a384,ERR3406038
ShaoY_2019,f1dee84a-7ae6-11e9-a106-68b59976a384,ERR3406042
ShaoY_2019,f1f928fe-7ae6-11e9-a106-68b59976a384,ERR3405561
ShaoY_2019,f212f2b6-7ae6-11e9-a106-68b59976a384,ERR3405562
ShaoY_2019,f22cb35e-7ae6-11e9-a106-68b59976a384,ERR3405563
ShaoY_2019,f6a7363e-7ae6-11e9-a106-68b59976a384,ERR3405681
ShaoY_2019,f246a020-7ae6-11e9-a106-68b59976a384,ERR3405937
ShaoY_2019,f27b18dc-7ae6-11e9-a106-68b59976a384,ERR3405626
ShaoY_2019,f29a5382-7ae6-11e9-a106-68b59976a384,ERR3405658
ShaoY_2019,f2b420d2-7ae6-11e9-a106-68b59976a384,ERR3406132
ShaoY_2019,f2cde8a0-7ae6-11e9-a106-68b59976a384,ERR3406234
ShaoY_2019,f2e7d80a-7ae6-11e9-a106-68b59976a384,ERR3405659
ShaoY_2019,f3020ef0-7ae6-11e9-a106-68b59976a384,ERR3405740
ShaoY_2019,f31c2f92-7ae6-11e9-a106-68b59976a384,ERR3406243
ShaoY_2019,f335c664-7ae6-11e9-a106-68b59976a384,ERR3405660
ShaoY_2019,f34f8770-7ae6-11e9-a106-68b59976a384,ERR3405677
ShaoY_2019,f36b3b28-7ae6-11e9-a106-68b59976a384,ERR3405661
ShaoY_2019,f260264e-7ae6-11e9-a106-68b59976a384,ERR3405625
ShaoY_2019,f1206924-7ae6-11e9-a106-68b59976a384,ERR3405557
ShaoY_2019,f6c6794a-7ae6-11e9-a106-68b59976a384,ERR3405700
ShaoY_2019,f6faf42c-7ae6-11e9-a106-68b59976a384,ERR3405938
ShaoY_2019,f8f2bfd0-7ae6-11e9-a106-68b59976a384,ERR3405708
ShaoY_2019,f903ea8a-7ae6-11e9-a106-68b59976a384,ERR3405689
